PersonID,Number,HeightInches,WeightPounds,Position,AcademicYear,HighSchool
1,79,78,340,OL,Fr.,Safford
2,9,75,177,QB,So.,Chaparral
3,10,74,177,DB,R-Fr.,Saguaro
4,14,76,193,QB,R-Fr.,Basha
5,23,73,217,LB,R-Sr.,Chaparral
6,24,73,175,RB,R-So.,Chandler
7,28,71,170,WR,Fr.,Sunrise Mountain
8,32,71,172,DB,R-Jr.,Mountain Pointe
9,34,75,214,LB,R-Fr.,Saguaro
10,36,71,177,DB,Fr.,Desert Vista
11,41,76,258,DL,R-Fr.,Highland
12,44,71,215,P,Jr.,Dobson
13,45,68,161,PK,R-Fr.,Perry
14,46,73,164,DB,R-Fr.,Northwest Christian
15,47,73,198,DB,Fr.,Centennial
16,55,78,315,OL,Gr.,Hamilton
17,57,75,277,DL,R-Sr.,Chandler
18,59,78,323,OL,R-Sr.,Higley
19,60,79,288,OL,R-Fr.,Ironwood Ridge
20,61,73,199,LS,R-Fr.,Verrado
21,61,76,301,OL,Fr.,Dobson
22,62,76,312,OL,R-Fr.,Tempe Prep
23,68,74,228,OLB,R-Fr.,Marcos de Niza
24,69,74,263,OL,R-Fr.,Westwood
25,70,78,308,OL,R-So.,Higley
26,71,76,333,OL,R-Jr.,Gilbert
27,72,75,296,OL,R-Jr.,Williams Field
28,74,75,278,OL,So.,Saguaro
29,80,78,251,TE,R-Fr.,Cibola
30,86,80,221,WR,So.,Mountain View
31,89,75,211,TE,Fr.,Chandler
32,92,75,225,TE,R-Fr.,Cactus Shadows
33,92,74,289,DL,So.,Mesa
34,93,73,217,LS,Jr.,Chaparral
35,94,70,176,K,Fr.,Saguaro
36,98,76,325,DL,R-Fr.,Desert Ridge
37,1,76,213,WR,Jr.,Chandler
38,1,70,174,PK,So.,Williams Field
39,37,71,232,LB,Fr.,Narbonne
40,2,73,195,WR,Jr.,McQueen
41,5,75,200,QB,R-Sr.,San Marin
42,5,70,169,DB,Jr.,Long Beach Poly
43,7,73,185,QB,Fr.,Cardinal Newman
44,8,75,235,LB,Fr.,Junipero Serro
45,9,75,243,LB,Sr.,Valencia
46,10,71,182,WR,Jr.,Murrieta
47,13,71,184,DB,Jr.,Los Alamitos
48,16,74,190,QB,Fr.,Gregori
49,16,73,190,S,Fr.,Long Beach Poly
50,19,74,189,P,R-Fr.,Saint Francis
51,20,73,230,LB,R-Jr.,Etiwanda
52,26,73,180,WR,Fr.,Scripps Ranch
53,28,73,199,DB,Sr.,Los Alamitos
54,30,73,208,DB,R-Sr.,De La Salle
55,31,67,185,RB,R-So.,Foothill
56,39,73,228,LB,R-Jr.,Chaparral
57,43,73,198,S,R-Sr.,El Cerrito
58,48,73,190,S,Fr.,Bishop Alemany
59,50,77,295,OL,Fr.,Norco
60,51,78,336,OL,R-Jr.,Saint John Bosco
61,52,73,209,OLB,Fr.,Calabasas
62,56,75,294,OL,R-Jr.,Mater Dei
63,58,77,284,OL,R-Sr.,Buena
64,63,78,335,OL,R-Jr.,Winward
65,64,75,300,OL,Fr.,Don Lugo
66,73,77,291,OL,Jr.,Los Osos
67,83,74,180,WR,Fr.,Etiwanda
68,85,76,184,WR,Fr.,Hamilton
